"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"MX14,MX1";"MX-1.5U-NoLED";2;"MX-NoLED";;;
2;"MX12,MX4,MX5,MX17,MX10,MX7,MX34,MX16,MX2,MX23,MX38,MX22,MX31,MX35,MX20,MX21,MX6,MX18,MX29,MX32,MX25,MX19,MX9,MX24,MX33,MX13,MX30,MX3,MX37,MX26,MX8,MX11,MX36";"MX-1U-NoLED";33;"MX-NoLED";;;
3;"MX44,MX45,MX46,MX41,MX40";"MX-1.25U-NoLED";5;"MX-NoLED";;;
4;"MX28,MX42,MX27";"MX-2.25U-NoLED";3;"MX-NoLED";;;
5;"MX43,MX39";"MX-2.75U-NoLED";2;"MX-NoLED";;;
6;"MX15";"MX-1.75U-NoLED";1;"MX-NoLED";;;
7;"D3,D5,D1,D30,D29,D28,D36,D14,D13,D25,D4,D18,D38,D45,D43,D35,D46,D21,D15,D41,D39,D2,D9,D19,D11,D12,D27,D16,D33,D22,D8,D37,D44,D24,D20,D23,D7,D31,D10,D32,D6,D17,D42,D34,D26,D40";"D_SOD-123";46;"D_Small";;;
8;"C6,C7";"C_0805_2012Metric";2;"22pF";;;
9;"C3,C4,C2";"C_0805_2012Metric";3;"0.1uF";;;
10;"SW1";"SKQG-1155865";1;"SW_Push";;;
11;"C1";"C_0805_2012Metric";1;"1uF";;;
12;"R4,R1";"R_0805_2012Metric";2;"10k";;;
13;"R3,R2";"R_0805_2012Metric";2;"22";;;
14;"C5";"C_0805_2012Metric";1;"10uF";;;
15;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
16;"J1";"Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical";1;"Conn_01x04";;;
17;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-A";;;
